Time,Charge Rate:0.06 - Baseline,Charge Rate:0.06 - Neural Network,Charge Rate:0.08 - Baseline,Charge Rate:0.08 - Neural Network,Charge Rate:0.10 - Baseline,Charge Rate:0.10 - Neural Network
0,0.666666667,0.7,0.766666667,0.766666667,0.766666667,0.766666667
1,0.666666667,0.7,0.766666667,0.833333333,0.766666667,0.833333333
2,0.666666667,0.7,0.733333333,0.766666667,0.733333333,0.766666667
3,0.666666667,0.7,0.7,0.8,0.7,0.8
4,0.666666667,0.666666667,0.7,0.766666667,0.7,0.766666667
5,0.666666667,0.733333333,0.666666667,0.766666667,0.666666667,0.766666667
6,0.666666667,0.666666667,0.7,0.733333333,0.7,0.733333333
7,0.666666667,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333
8,0.633333333,0.666666667,0.766666667,0.766666667,0.766666667,0.766666667
