current_time_step,drone_id,battery,estimated_waiting,energy_to_fly_to_charger,time_to_done_charging,charger,potential_drones_length,waiting_drones_length,accepted_queues_length,charging_drones_length
106,Drone_559,0.4149999999999995,0.73359495,0.2109502310972899,21.12686111897288,Charger_140,3,1,0,0
106,Drone_553,0.38999999999999946,0.5925443,0.18439088914585774,18.47086455015161,Charger_141,5,1,0,0
119,Drone_563,0.35999999999999943,0.67797947,0.15652475842498528,15.684336832835529,Charger_139,4,1,0,0
132,Drone_556,0.27499999999999936,0.6185372,0.15,15.035,Charger_141,4,4,0,1
138,Drone_558,0.24999999999999933,0.7735581,0.11401754250991379,11.436314952691776,Charger_140,2,2,0,1
145,Drone_554,0.2099999999999993,0.7019954,0.11401754250991379,11.437914952691775,Charger_139,3,3,0,1
159,Drone_561,0.15999999999999925,0.65839416,0.1264911064067352,12.687770284929787,Charger_141,4,3,0,1
165,Drone_555,0.11499999999999921,0.85029626,0.0806225774829855,8.10088265139787,Charger_140,1,1,0,1
251,Drone_563,0.4149999999999995,0.72877467,0.2109502310972899,21.12686111897288,Charger_140,3,1,0,0
251,Drone_553,0.38999999999999946,0.80681974,0.18439088914585774,18.47086455015161,Charger_141,2,1,0,0
269,Drone_559,0.3199999999999994,0.72976846,0.11401754250991379,11.433514952691775,Charger_139,3,1,0,0
284,Drone_558,0.3549999999999994,0.9108852,0.15,15.0318,Charger_141,1,1,0,1
302,Drone_554,0.3199999999999994,0.74263805,0.11401754250991379,11.433514952691775,Charger_140,3,1,0,0
312,Drone_561,0.2999999999999994,0.8178135,0.09219544457292887,9.251232275075804,Charger_139,2,1,0,0
328,Drone_556,0.16999999999999926,0.7815136,0.0806225774829855,8.09868265139787,Charger_140,3,1,0,1
334,Drone_555,0.23999999999999932,0.8424899,0.09486832980505139,9.52102771369734,Charger_139,1,1,0,1
391,Drone_563,0.4149999999999995,0.72733325,0.2109502310972899,21.12686111897288,Charger_140,3,1,0,0
396,Drone_553,0.38999999999999946,0.8114712,0.18439088914585774,18.47086455015161,Charger_141,2,1,0,0
424,Drone_559,0.3199999999999994,0.8908341,0.11401754250991379,11.433514952691775,Charger_140,2,1,0,1
433,Drone_558,0.3199999999999994,0.72973025,0.11401754250991379,11.433514952691775,Charger_139,3,1,0,0
455,Drone_554,0.3199999999999994,0.89593846,0.11401754250991379,11.433514952691775,Charger_139,2,1,0,1
472,Drone_561,0.28499999999999936,0.81363916,0.0806225774829855,8.09408265139787,Charger_140,2,1,0,0
473,Drone_556,0.3549999999999994,0.81051844,0.15,15.0318,Charger_141,2,1,0,0
498,Drone_555,0.2999999999999994,0.81588984,0.09486832980505139,9.51862771369734,Charger_139,2,1,0,0
