current_time_step,drone_id,battery,estimated_waiting,energy_to_fly_to_charger,time_to_done_charging,charger,potential_drones_length,waiting_drones_length,accepted_queues_length,charging_drones_length
106,Drone_235,0.4149999999999995,0.75578207,0.2109502310972899,21.12686111897288,Charger_59,3,1,0,0
106,Drone_229,0.38999999999999946,0.64174473,0.18439088914585774,18.47086455015161,Charger_60,5,1,0,0
119,Drone_239,0.35999999999999943,0.68975973,0.15652475842498528,15.684336832835529,Charger_58,4,1,0,0
132,Drone_232,0.27499999999999936,0.7472751,0.15,15.035,Charger_60,4,4,0,1
139,Drone_234,0.24499999999999933,0.8983339,0.11401754250991379,11.436514952691775,Charger_59,2,2,0,1
147,Drone_230,0.1999999999999993,0.8279647,0.11401754250991379,11.438314952691776,Charger_58,3,3,0,1
161,Drone_237,0.14999999999999925,0.77706796,0.1264911064067352,12.688170284929788,Charger_60,4,3,0,1
253,Drone_229,0.38999999999999946,0.8370109,0.18439088914585774,18.47086455015161,Charger_60,2,1,0,0
255,Drone_239,0.4149999999999995,0.77069956,0.2109502310972899,21.12686111897288,Charger_59,3,1,0,0
272,Drone_235,0.3199999999999994,0.83902025,0.11401754250991379,11.433514952691775,Charger_58,2,1,0,0
290,Drone_232,0.3549999999999994,0.92883474,0.15,15.0318,Charger_60,1,1,0,1
305,Drone_234,0.3199999999999994,0.7711894,0.11401754250991379,11.433514952691775,Charger_59,3,1,0,0
313,Drone_230,0.3199999999999994,0.8290226,0.11401754250991379,11.433514952691775,Charger_58,2,1,0,0
335,Drone_237,0.28499999999999936,0.83415985,0.0806225774829855,8.09408265139787,Charger_59,3,1,0,1
397,Drone_239,0.4149999999999995,0.7659687,0.2109502310972899,21.12686111897288,Charger_59,3,1,0,0
399,Drone_229,0.38999999999999946,0.833118,0.18439088914585774,18.47086455015161,Charger_60,2,1,0,0
432,Drone_235,0.3199999999999994,0.8434197,0.11401754250991379,11.433514952691775,Charger_58,2,1,0,0
456,Drone_232,0.22999999999999932,0.89126754,0.09219544457292887,9.254032275075804,Charger_58,2,1,0,1
464,Drone_234,0.3199999999999994,0.8419834,0.11401754250991379,11.433514952691775,Charger_59,2,1,0,0
482,Drone_237,0.3299999999999994,0.8358892,0.1264911064067352,12.680970284929787,Charger_60,2,1,0,0
490,Drone_230,0.2099999999999993,0.96270907,0.0806225774829855,8.09708265139787,Charger_59,1,1,0,1
