Active Drones,Total Damage,Alive Drone Rate,Damage Rate,Charger Capacity,Train,Average Run,Charge Alert,Battery Random Reduction
7.6,731.2,0.76,0.7803628601921024,1.0,2.0,3.0,0.2,0.0
7.8,726.4,0.78,0.7752401280683031,1.0,3.0,3.0,0.2,0.0
7.6,727.2,0.76,0.776093916755603,1.0,4.0,3.0,0.2,0.0
8.0,713.4,0.8,0.7613660618996797,1.0,5.0,3.0,0.2,0.0
7.8,714.2,0.7799999999999999,0.7622198505869797,1.0,6.0,3.0,0.2,0.0
7.6,732.6,0.76,0.7818569903948772,1.0,7.0,3.0,0.2,0.0
7.6,725.4,0.76,0.7741728922091782,1.0,8.0,3.0,0.2,0.0
7.4,738.4,0.74,0.7880469583778016,1.0,9.0,3.0,0.2,0.0
7.2,746.6,0.72,0.7967982924226253,1.0,10.0,3.0,0.2,0.0
7.8,719.6,0.7799999999999999,0.7679829242262539,1.0,11.0,3.0,0.2,0.0
