Active Drones,Total Damage,Alive Drone Rate,Damage Rate,Charger Capacity,Train,Average Run,Charge Alert,Battery Random Reduction
8.0,107.4,0.5,0.11462113127001068,2.0,2.0,3.0,0.2,0.0
8.0,99.4,0.5,0.10608324439701174,2.0,3.0,3.0,0.2,0.0
8.0,98.8,0.5,0.10544290288153682,2.0,4.0,3.0,0.2,0.0
8.0,94.6,0.5,0.10096051227321237,2.0,5.0,3.0,0.2,0.0
7.8,102.8,0.4875,0.1097118463180363,2.0,6.0,3.0,0.2,0.0
7.8,111.2,0.4875,0.11867662753468518,2.0,7.0,3.0,0.2,0.0
8.0,104.0,0.5,0.11099252934898614,2.0,8.0,3.0,0.2,0.0
8.0,99.2,0.5,0.10586979722518677,2.0,9.0,3.0,0.2,0.0
8.0,103.8,0.5,0.11077908217716115,2.0,10.0,3.0,0.2,0.0
7.8,105.8,0.4875,0.11291355389541087,2.0,11.0,3.0,0.2,0.0
