Birds,No Estimator: Alive Drone Rate,No Estimator: Damage Rate,Neural Network: Alive Drone Rate,Neural Network: Damage Rate
10,0.47,0.01,0.48,0.01
20,0.47,0.04,0.49,0.03
30,0.42,0.16,0.46,0.09
40,0.42,0.14,0.47,0.16
50,0.45,0.27,0.5,0.22
60,0.47,0.3,0.49,0.27
70,0.47,0.34,0.48,0.35
80,0.42,0.41,0.47,0.38
90,0.45,0.43,0.49,0.43
100,0.5,0.51,0.49,0.47
