Birds,No Estimator: Alive Drone Rate,No Estimator: Damage Rate,Neural Network: Alive Drone Rate,Neural Network: Damage Rate
10,1,0.01,1,0.01
20,1,0.07,1,0.08
30,1,0.18,1,0.18
40,1,0.33,1,0.33
50,1,0.48,1,0.48
60,1,0.59,1,0.58
70,1,0.61,1,0.6
80,1,0.62,1,0.62
90,1,0.64,1,0.63
100,1,0.66,1,0.66
