Birds,No Estimator: Alive Drone Rate,No Estimator: Damage Rate,Neural Network: Alive Drone Rate,Neural Network: Damage Rate
10,0.63,0.02,0.58,0.01
20,0.63,0.05,0.59,0.06
30,0.63,0.13,0.58,0.13
40,0.53,0.22,0.6,0.24
50,0.57,0.27,0.62,0.25
60,0.57,0.33,0.61,0.31
70,0.6,0.38,0.61,0.36
80,0.57,0.41,0.63,0.4
90,0.63,0.43,0.6,0.45
100,0.57,0.53,0.62,0.5
