Birds,No Estimator: Alive Drone Rate,No Estimator: Damage Rate,Neural Network: Alive Drone Rate,Neural Network: Damage Rate
10,0.7,0.01,0.79,0.01
20,0.7,0.07,0.8,0.07
30,0.9,0.19,0.79,0.17
40,0.75,0.28,0.79,0.27
50,0.75,0.33,0.81,0.31
60,0.85,0.36,0.76,0.35
70,0.85,0.38,0.81,0.39
80,0.8,0.44,0.76,0.45
90,0.7,0.55,0.8,0.49
100,0.8,0.57,0.89,0.52
