Birds,No Estimator: Alive Drone Rate,No Estimator: Damage Rate,Neural Network: Alive Drone Rate,Neural Network: Damage Rate
10,0.78,0,0.8,0
20,0.73,0.01,0.79,0
30,0.8,0.01,0.78,0.01
40,0.78,0.02,0.78,0.02
50,0.82,0.04,0.79,0.04
60,0.82,0.05,0.78,0.06
70,0.78,0.08,0.8,0.07
80,0.82,0.11,0.78,0.11
90,0.7,0.18,0.79,0.12
100,0.78,0.16,0.81,0.15
