epoch,train_loss,val_loss
1,-8.389752388000488,-13.979373931884766
2,-12.278600692749023,-15.27750301361084
3,-13.004512786865234,-15.433247566223145
4,-13.314308166503906,-15.545815467834473
5,-13.428020477294922,-15.774710655212402
6,-13.591887474060059,-15.894084930419922
7,-13.684587478637695,-15.948893547058105
8,-13.873892784118652,-15.97719669342041
9,-13.94740104675293,-16.162887573242188
10,-14.06777572631836,-15.93223762512207
11,-13.900748252868652,-16.226940155029297
12,-14.331107139587402,-16.2276668548584
13,-14.362337112426758,-16.131328582763672
14,-14.33103084564209,-16.51841163635254
15,-14.40445613861084,-16.580547332763672
16,-14.483541488647461,-16.45302963256836
17,-14.596588134765625,-16.659807205200195
18,-14.6073637008667,-16.501832962036133
19,-14.749130249023438,-16.609649658203125
20,-14.704510688781738,-16.679237365722656
21,-14.839811325073242,-16.219223022460938
22,-14.824780464172363,-16.792076110839844
23,-14.899755477905273,-16.828731536865234
24,-14.971823692321777,-16.77411651611328
25,-15.01274585723877,-16.77112579345703
26,-15.028141975402832,-17.03954315185547
27,-15.132111549377441,-16.84885025024414
28,-15.106278419494629,-17.050804138183594
29,-15.11539363861084,-16.922481536865234
30,-15.199897766113281,-16.77808380126953
31,-15.271697998046875,-17.0986270904541
32,-15.317343711853027,-17.206804275512695
33,-15.413138389587402,-17.048229217529297
34,-15.240108489990234,-16.837203979492188
35,-15.318435668945312,-17.26091766357422
36,-15.392924308776855,-17.264116287231445
37,-15.3872709274292,-17.413732528686523
38,-15.51641845703125,-17.07566261291504
39,-15.427858352661133,-17.24172019958496
40,-15.617715835571289,-17.500629425048828
41,-15.65054988861084,-17.34996795654297
42,-15.552377700805664,-17.12892723083496
43,-15.570079803466797,-17.21123504638672
44,-15.615612983703613,-17.555814743041992
45,-15.734478950500488,-17.4713077545166
46,-15.818620681762695,-17.59524154663086
47,-15.824137687683105,-17.71155548095703
48,-15.878305435180664,-17.71102523803711
49,-15.843430519104004,-17.782154083251953
50,-15.896882057189941,-17.642744064331055
