epoch,train_loss,val_loss
1,-13.27060317993164,-14.990705490112305
2,-16.302404403686523,-15.456623077392578
3,-16.538780212402344,-15.499279975891113
4,-16.93362045288086,-15.925143241882324
5,-17.185998916625977,-16.251476287841797
6,-17.355945587158203,-16.283706665039062
7,-17.25397300720215,-16.571800231933594
8,-17.673391342163086,-16.557310104370117
9,-17.466787338256836,-16.15069007873535
10,-17.782878875732422,-16.75910758972168
11,-17.81633949279785,-16.836305618286133
12,-17.820987701416016,-16.81266975402832
13,-17.97484016418457,-16.962125778198242
14,-18.06268310546875,-16.75714874267578
15,-18.100276947021484,-17.160978317260742
16,-18.242517471313477,-16.959604263305664
17,-18.189096450805664,-17.180152893066406
18,-18.30271339416504,-17.27480125427246
19,-18.287355422973633,-17.37047576904297
20,-18.27665138244629,-17.212562561035156
21,-18.33930206298828,-17.445777893066406
22,-18.336639404296875,-17.305797576904297
23,-18.378938674926758,-17.516813278198242
24,-18.582250595092773,-17.4880313873291
25,-18.55457878112793,-17.370567321777344
26,-18.603307723999023,-17.364736557006836
27,-18.597063064575195,-17.607276916503906
28,-18.740400314331055,-17.602561950683594
29,-18.757183074951172,-17.38667106628418
30,-18.675670623779297,-17.635713577270508
31,-18.69564437866211,-17.606733322143555
32,-18.77225685119629,-17.674400329589844
33,-18.888933181762695,-17.85122299194336
34,-18.835521697998047,-17.81533432006836
35,-18.863019943237305,-17.804170608520508
36,-18.88225746154785,-17.787378311157227
37,-18.91183090209961,-17.8670711517334
38,-18.998538970947266,-17.83759880065918
39,-18.661720275878906,-17.643075942993164
40,-18.951988220214844,-18.036945343017578
41,-18.96656036376953,-17.85038185119629
42,-19.002891540527344,-17.466537475585938
43,-18.61040687561035,-17.499866485595703
44,-19.054616928100586,-18.001562118530273
45,-19.178333282470703,-18.137269973754883
46,-19.161659240722656,-17.850492477416992
47,-19.1064453125,-18.09522247314453
48,-19.12151527404785,-17.898256301879883
49,-19.16761016845703,-18.094635009765625
50,-19.206125259399414,-18.034805297851562
